HMS_POID	ORGNAME	ADDRESS1	ADDRESS2	CITY	STATE	ZIP	PHONE	ORG_BUCKET_1_RANK	ORG_BUCKET_2_RANK	ORG_BUCKET_3_RANK	ORG_BUCKET_4_RANK
PORWJEP0	SOUTHWEST GENERAL HOSPITAL	7400 BARLITE BLVD		SAN ANTONIO	TX	78224	2153467272	1	6	6	10
PO0QW138	NEW YORK METHODIST HOSPITAL	506 6TH ST		BROOKLYN	NY	11215	2153467279	7	3	4	6
PO1CUK60	GWINNETT HOSPITAL SYSTEM	1000 MEDICAL CENTER BLVD		LAWRENCEVILLE	GA	30046	2153467275	9	5	8	1
POGEC0J0	MT GRAHAM REGIONAL MEDICAL CENTER	1600 S 20TH AVE	STE 100	SAFFORD	AZ	85546	2153467275	1	4	6	8
PONNDUG2	NORTHEAST REHABILITATION HOSPITAL	70 BUTLER ST		SALEM	NH	03079	2153467276	6	10	5	1
POKR3406	SUTTER TRACY COMMUNITY HOSPITAL	1420 N TRACY BLVD		TRACY	CA	95376	2153467279	5	10	4	10
PO5TVXN4	THE CHILDRENS HOSPITAL OF ALABAMA	1600 7TH AVE S		BIRMINGHAM	AL	35233	2153467277	10	7	3	10
PODRFQN6	MAINEGENERAL MEDICAL CENTER-WATERVILLE CAMPUS	149 NORTH ST		WATERVILLE	ME	04901	2153467279	3	9	4	1
PODTEW20	HARDIN MEMORIAL HOSPITAL	921 E FRANKLIN ST	STE 200	KENTON	OH	43326	2153467275	7	2	2	4
PO04A711	DRAKE CENTER	151 W GALBRAITH RD		CINCINNATI	OH	45216	2153467275	5	1	8	10
POM5F0B0	NORWALK HOSPITAL	34 MAPLE ST		NORWALK	CT	06850	2153467271	4	5	2	3
POCTMHG4	KARMANOS CANCER CENTER	4100 JOHN R ST		DETROIT	MI	48201	2153467278	10	10	4	3
POATTA91	WHITE RIVER MEDICAL CENTER	1710 HARRISON ST		BATESVILLE	AR	72501	2153467277	4	7	7	7
POD8GUD1	ALPENA REGIONAL MEDICAL CENTER	1501 W CHISHOLM ST		ALPENA	MI	49707	2153467271	5	3	4	8
PO1AX6G7	UNIVERSITY OF NORTH CAROLINA HOSPITALS	101 MANNING DR		CHAPEL HILL	NC	27514	2153467276	3	9	5	1
PO1ETMQ6	GAYLORD HOSPITAL	PO BOX 400		WALLINGFORD	CT	06492	2153467273	3	8	6	6
PO3MXVX7	SCHWAB REHABILITATION HOSPITAL	1401 S CALIFORNIA AVE		CHICAGO	IL	60608	2153467276	6	4	1	8
POEJRJT8	UNIVERSITY OF VIRGINIA MEDICAL CENTER	JEFFERSON PARK AVE		CHARLOTTESVILLE	VA	22908	2153467278	9	10	8	9
